pitch_acc,roll_acc,pitch_gyro,roll_gyro,pitch_comp,roll_comp
-5.87,-1.50,1.16,0.04,-0.19,-0.33
0.06,-1.40,-5.28,3.08,-6.62,2.68
3.08,0.15,-5.69,3.23,-7.00,2.82
2.10,-1.00,-5.97,3.22,-7.24,2.80
3.96,-1.33,-6.39,3.00,-7.62,2.56
1.98,-1.36,-6.73,2.78,-7.93,2.32
-1.71,-2.40,-6.95,2.72,-8.13,2.24
-1.97,0.12,-7.65,2.81,-8.81,2.32
-0.55,2.80,-8.12,2.46,-9.24,1.97
-1.40,1.79,-8.53,2.12,-9.63,1.64
-3.66,-2.23,-8.60,1.73,-9.68,1.23
-1.96,-1.06,-8.96,1.68,-10.00,1.17
-0.95,-0.62,-8.83,1.66,-9.85,1.14
-0.30,-2.91,-8.53,1.51,-9.52,0.97
-1.23,-2.95,-8.49,1.83,-9.45,1.27
-2.80,-2.27,-7.93,2.26,-8.87,1.69
-1.22,-1.83,-7.24,2.51,-8.16,1.92
2.95,1.07,-7.12,2.84,-7.99,2.24
-1.00,1.80,-6.96,2.99,-7.82,2.39
0.16,2.27,-6.38,2.89,-7.21,2.28
3.76,2.04,-6.11,2.65,-6.91,2.05
2.95,2.22,-6.45,2.49,-7.21,1.88
-0.09,1.77,-6.75,2.53,-7.48,1.92
0.15,2.39,-6.83,2.63,-7.54,2.02
0.77,2.04,-7.42,3.04,-8.10,2.43
-0.83,0.66,-8.37,4.01,-9.03,3.39
-1.31,3.14,-9.04,5.34,-9.66,4.71
-0.14,5.56,-9.37,6.86,-9.96,6.22
1.58,6.23,-9.13,8.45,-9.68,7.81
-2.86,6.19,-8.94,10.27,-9.47,9.62
-2.25,8.73,-8.55,11.77,-9.06,11.11
-0.66,10.74,-7.84,13.25,-8.32,12.58
1.07,12.32,-6.99,14.76,-7.44,14.07
0.49,12.77,-7.04,16.05,-7.46,15.35
0.64,13.83,-6.88,17.12,-7.28,16.41
1.58,15.31,-6.63,17.86,-7.00,17.15
0.72,17.07,-6.43,18.49,-6.78,17.76
2.50,17.52,-6.34,19.25,-6.66,18.52
1.06,17.81,-6.43,20.00,-6.72,19.27
0.60,19.29,-6.50,20.80,-6.76,20.06
1.30,20.29,-6.41,21.49,-6.64,20.75
1.18,20.60,-6.67,22.24,-6.88,21.50
0.12,21.26,-6.93,23.26,-7.12,22.51
-0.24,22.09,-6.71,24.46,-6.87,23.70
0.54,23.48,-6.60,26.08,-6.74,25.31
1.25,25.43,-6.16,27.67,-6.28,26.89
0.79,26.51,-5.82,29.31,-5.91,28.52
2.63,30.39,-5.79,30.61,-5.85,29.82
3.93,32.14,-5.87,32.10,-5.90,31.31
-0.05,31.24,-5.80,33.59,-5.81,32.79
2.07,33.46,-5.64,34.88,-5.62,34.09
3.23,36.16,-5.63,36.16,-5.59,35.37
2.25,37.17,-5.65,37.27,-5.58,36.48
1.16,38.33,-5.74,38.28,-5.65,37.49
1.09,38.33,-5.88,39.21,-5.76,38.42
4.01,41.47,-6.03,40.04,-5.88,39.25
5.46,41.21,-6.19,41.06,-6.00,40.28
5.11,42.04,-6.30,41.99,-6.07,41.21
4.87,43.48,-6.61,42.89,-6.35,42.11
1.54,43.83,-6.86,43.91,-6.56,43.14
3.20,44.83,-6.98,44.78,-6.65,44.01
